Tarkastelujakson kumulatiivinen sähköntuotanto:
Pvm;Kumulatiivinen kulutus (kWh)
01.01.2020 00:00;10431136
01.01.2020 01:00;20536483
01.01.2020 02:00;30306620
01.01.2020 03:00;39939992
01.01.2020 04:00;49556845
01.01.2020 05:00;59223066
01.01.2020 06:00;69070235
01.01.2020 07:00;78944912
01.01.2020 08:00;89030678
01.01.2020 09:00;99087754
01.01.2020 10:00;109217919
01.01.2020 11:00;119500295
01.01.2020 12:00;129815490
01.01.2020 13:00;140151747
01.01.2020 14:00;150560934
01.01.2020 15:00;161279604
01.01.2020 16:00;172217652
01.01.2020 17:00;183203369
01.01.2020 18:00;194202410
01.01.2020 19:00;205134015
01.01.2020 20:00;215802883
01.01.2020 21:00;226060290
01.01.2020 22:00;236529688
01.01.2020 23:00;246800696
02.01.2020 00:00;256696399
02.01.2020 01:00;266270567
02.01.2020 02:00;275644851
02.01.2020 03:00;284891415
02.01.2020 04:00;294198267
02.01.2020 05:00;303739759
02.01.2020 06:00;313932521
02.01.2020 07:00;324561078
02.01.2020 08:00;335512871
02.01.2020 09:00;346444640
02.01.2020 10:00;357332124
02.01.2020 11:00;368202770
02.01.2020 12:00;379102254
02.01.2020 13:00;389985013
02.01.2020 14:00;400850901
02.01.2020 15:00;411944961
02.01.2020 16:00;423147140
02.01.2020 17:00;434398331
02.01.2020 18:00;445576429
02.01.2020 19:00;456725571
02.01.2020 20:00;467676579
02.01.2020 21:00;478254971
02.01.2020 22:00;488870772
02.01.2020 23:00;499270991
03.01.2020 00:00;509198042
03.01.2020 01:00;518722956
03.01.2020 02:00;528107650
03.01.2020 03:00;537435506
03.01.2020 04:00;546814144
03.01.2020 05:00;556470644
03.01.2020 06:00;566757574
03.01.2020 07:00;577402121
03.01.2020 08:00;588315844
03.01.2020 09:00;599296130
03.01.2020 10:00;610240374
03.01.2020 11:00;621221352
03.01.2020 12:00;632294711
03.01.2020 13:00;643366797
03.01.2020 14:00;654418238
03.01.2020 15:00;665704731
03.01.2020 16:00;677089991
03.01.2020 17:00;688497610
03.01.2020 18:00;699872866
03.01.2020 19:00;711232454
03.01.2020 20:00;722431467
03.01.2020 21:00;733225060
03.01.2020 22:00;744085668
03.01.2020 23:00;754719296
04.01.2020 00:00;764863505
04.01.2020 01:00;774670243
04.01.2020 02:00;784238422
04.01.2020 03:00;793701327
04.01.2020 04:00;803182329
04.01.2020 05:00;812764991
04.01.2020 06:00;822654154
04.01.2020 07:00;832650278
04.01.2020 08:00;843019641
04.01.2020 09:00;853492341
04.01.2020 10:00;864128465
04.01.2020 11:00;874875552
04.01.2020 12:00;885709095
04.01.2020 13:00;896476033
04.01.2020 14:00;907316057
04.01.2020 15:00;918376204
04.01.2020 16:00;929869032
04.01.2020 17:00;941478521
04.01.2020 18:00;953229904
04.01.2020 19:00;964886168
04.01.2020 20:00;976219852
04.01.2020 21:00;987134640
04.01.2020 22:00;998254886
04.01.2020 23:00;1009191714
05.01.2020 00:00;1019663705
05.01.2020 01:00;1029764540
05.01.2020 02:00;1039682592
05.01.2020 03:00;1049539945
05.01.2020 04:00;1059423493
05.01.2020 05:00;1069365806
05.01.2020 06:00;1079511164
05.01.2020 07:00;1089769812
05.01.2020 08:00;1100329073
05.01.2020 09:00;1111035192
05.01.2020 10:00;1121928380
05.01.2020 11:00;1132957784
05.01.2020 12:00;1143991810
05.01.2020 13:00;1155013939
05.01.2020 14:00;1166121922
05.01.2020 15:00;1177484566
05.01.2020 16:00;1189121175
05.01.2020 17:00;1200868298
05.01.2020 18:00;1212696128
05.01.2020 19:00;1224502482
05.01.2020 20:00;1236043050
05.01.2020 21:00;1247192216
05.01.2020 22:00;1258551073
05.01.2020 23:00;1269713989
06.01.2020 00:00;1280389797
06.01.2020 01:00;1290694110
06.01.2020 02:00;1300807695
06.01.2020 03:00;1310781765
06.01.2020 04:00;1320797262
06.01.2020 05:00;1330894294
06.01.2020 06:00;1341185496
06.01.2020 07:00;1351530658
06.01.2020 08:00;1362157467
06.01.2020 09:00;1372789569
06.01.2020 10:00;1383585578
06.01.2020 11:00;1394467756
06.01.2020 12:00;1405411991
06.01.2020 13:00;1416331930
06.01.2020 14:00;1427318150
