Viikko;Aurinkovoima;Tuulivoima;Vesivoima;Ydinvoima;Yhteistuotanto;Lämpövoima
Vko 1;0.14;198.64;175.81;335.94;341.69;26.07
Vko 2;0.22;254.74;277.71;470.43;493.51;38.20
Vko 3;0.21;186.10;315.66;470.48;481.33;39.53
Vko 4;0.49;227.21;303.99;469.71;474.66;38.49
Vko 5;0.30;171.70;286.53;470.37;366.38;32.93
Vko 6;0.88;212.21;303.72;470.33;380.62;36.91
Vko 7;0.71;187.55;345.42;470.42;377.73;55.27
Vko 8;1.06;236.68;369.33;468.83;411.80;35.08
Vko 9;2.30;107.51;366.36;470.32;556.94;66.38
Vko 10;1.66;178.04;357.56;470.16;490.72;46.29
Vko 11;2.28;190.57;355.73;470.27;427.83;40.10
Vko 12;3.78;194.17;352.02;469.44;431.51;39.07
Vko 13;4.60;230.17;332.16;447.23;413.72;20.88
Vko 14;4.42;156.58;351.14;405.43;451.84;18.23
Vko 15;5.16;187.50;294.78;454.80;371.07;21.73
Vko 16;5.05;168.37;318.69;452.56;390.74;26.18
Vko 17;6.82;119.78;277.88;458.44;355.14;26.05
Vko 18;5.74;89.83;303.17;455.01;377.46;26.14
Vko 19;9.12;102.71;340.28;442.61;322.91;22.78
Vko 20;7.51;68.06;403.92;308.21;367.18;14.12
Vko 21;10.28;73.77;385.58;351.44;308.42;25.58
Vko 22;11.76;79.40;317.90;317.62;262.04;21.25
Vko 23;9.50;117.87;293.79;315.63;247.59;29.97
Vko 24;12.93;69.82;298.18;435.17;229.84;23.42
Vko 25;13.72;68.51;265.73;458.77;199.65;31.54
Vko 26;16.61;79.41;215.97;455.68;216.18;84.14
Vko 27;8.73;128.72;186.48;455.83;214.57;28.32
Vko 28;10.26;73.54;262.43;459.75;201.24;23.44
Vko 29;12.47;56.53;298.52;458.56;182.56;25.41
Vko 30;8.34;106.44;235.41;457.90;167.84;28.66
Vko 31;8.98;74.99;266.90;447.94;188.48;26.29
Vko 32;9.51;79.94;249.02;373.56;212.47;33.66
Vko 33;9.67;96.25;238.00;371.42;206.41;53.95
Vko 34;9.78;132.25;237.76;367.06;215.21;62.20
Vko 35;7.82;59.43;224.60;370.82;232.45;63.54
Vko 36;6.02;125.16;204.36;372.63;255.60;66.68
Vko 37;4.84;161.42;202.27;378.09;275.17;41.33
Vko 38;4.85;211.58;220.34;380.15;274.34;33.79
Vko 39;4.35;172.55;233.22;380.17;254.96;41.73
Vko 40;3.41;126.02;236.66;380.13;276.46;59.43
Vko 41;2.21;178.83;244.71;380.48;284.97;32.08
Vko 42;2.10;105.38;261.24;380.47;370.91;66.17
Vko 43;1.15;124.37;294.47;412.67;376.95;71.83
Vko 44;0.86;201.21;364.46;467.22;270.17;66.44
Vko 45;1.26;286.19;356.50;466.19;242.86;51.60
Vko 46;0.72;176.92;357.55;465.35;378.22;69.51
Vko 47;0.45;279.97;346.97;466.74;308.52;45.98
Vko 48;0.31;126.37;374.88;468.81;448.10;56.55
Vko 49;0.16;206.63;355.70;469.39;467.07;53.50
Vko 50;0.22;108.31;328.59;394.68;537.37;65.22
Vko 51;0.12;153.07;305.67;333.60;494.03;77.99
Vko 52;0.15;183.18;319.93;466.01;379.06;40.63
Vko 53;0.08;116.03;182.42;267.18;248.30;29.79
